Puzzle,Givens,Difficulty
...1..5.78.6..............4.7.5....9...7.96..9....4.15.63......49.6....11.5....8.,25,Easy
8....46...4.5.6......38...54......7..37..9.......4....5.6..3..4......9.1....97.3.,24,Expert
3..2......2...179.58..79..2.....243.4...8....81.4..2.......7.5.....9....9.5.....1,26,Expert
..9...5.67....1....2.9...3.2....4..13.51.672.4....3.9.5.6........14......4.......,25,Expert
.....9..87.8..........6..3.2.5....6.8.3.1...217.5..8.....78...9...39.1..6....5...,25,Expert
.1.8.......5.13....7..............9......5813798...6.4.3.7...4.6...4.1..4..5..9..,25,Intermediate
7....369.68.9.........5.4.3....6.....78.......3.5.7....1.3.......78943....4.7...8,26,Intermediate
...9..35........81..8..37.23...2.1.5.2..98..49.14........2.......3............519,25,Expert
2.96.14.7..87.32.9......1...368..9..9.......6...2..8.......6..8....2.37....97....,27,Easy
2759.64...4......6.....8.....2........4.3..2796......8...2..7.......7.3.65.8....9,25,Easy
8...........972...6.1..42...74.81...38....1....95....7.....3.2..3.2..7......9....,24,Easy
.7...9.4.81....7..9....4.56487..1...6..3.5.......9...........387..5........8.64..,25,Easy
..86.5....6973...1..........5......334....7.6897...........98..4..1......8...763.,25,Easy
....9.4.7.9...5.6.....7.15..3.......6....4.31...8....4.49..7.1......9...5.7643..8,27,Expert
.8......6549.3.......1......6..9..5.1.4.6...9..7..18...965.4...43..........87....,25,Easy
32..6...99.........5..4.6....9....72.1..24....6......17.........42.7..53..3....4.,24,Intermediate
....1...91.2..4.......5..41....2.3.8.8.4...6....5.9..4..98...23..1..5.......9.6..,25,Intermediate
49...38....256..41.5...8..2..8.....5...9.2...94.....6.6......14...6......21.3....,26,Easy
3.....7.12..8.43..7.5.2...4.........4.85....2....631.7...2..4.3.........81.......,24,Easy
.....9..8..9.3..7...2....6.6....8.9374.3....2.........564...3...2....9....7..28.5,25,Easy
...3..59.......6....39.4........5...4....1..2...2...3.5.9418..6....9.85..2....14.,25,Expert
..4..357.3.......665..4..1.1..26...74...7...52..1...4.........1..6........1...862,26,Expert
..7......63...5..8.9.2..........3.........17..1....6....2..68..87..3..1..6975...3,24,Easy
......41.....3.7......5......3......2..74..3...4.6.5.8..5...1..41..82..5.7.6..8..,24,Easy
4..6......26.3.........2.915.........412.......3..65.....4..7...6.3.....172.....5,23,Intermediate
..6.3......9.8...2.84.6.5.......98.1..1.28.39...4..65...2......6..........3.4...8,25,Expert
.....56......9.5.8..1....79.......87..8.....2...2..9..1..8...3.3.9..68..5.712....,25,Easy
......5.1.2.....6717....39..35.9....29.5.7........3..........26.4.......7..2..15.,24,Expert
..8.9..5.36...5.......2.3.......6....9.218....51...8...1.......6.5..14.3...38....,24,Easy
.21.3.....641..82.83....5.....4.3.1..49........3.29....8..51.4......4.......9.28.,27,Easy
39....5...6..4.3.8..49.........6..1...21....59.......242...5...5.8...4..........1,23,Expert
9......575.4.......17.238......4.....8...........58.3...1..5.2..4.19.3..8..7..1.4,26,Easy
........79..5....1751...8.2.9.....7...2....6..8....9.55..84.2..6...72...8...9..1.,26,Easy
6.....1..2..6..........392..8...2....264....3..3.914..1.8......3...4.....4...9.7.,24,Easy
.32.6....7...2.1.6.6....4..81.7......4.6.2..7....93....23..9...........3.7...46..,25,Simple
...9....1.8.5...9...7....26.....89...6.3.75...18..6..77.....1.......5..3....89...,24,Easy
4.8.......972......3.8...1..4.97.......16.7....1.8.39..64............98.1.2.4...6,26,Easy
.9.5...1...728......5...7..3.4.....5...7..38........91...87...998.12........3.82.,26,Expert
9.......1...6...9...18....72.6.9..5.1.82.53...3...1.76...7.8..3....2.......9....5,26,Expert
..9....1...84..5.7.........58...6.....7....9..6...38.4.7..1438......8.71....5.9..,25,Easy
.5.7..9.618.........9......538...4.....9...6...41..8.7...3.7..5.......9..7..193..,25,Intermediate
.1...2...3526...4...9...3..4...85....85.9.....3....8...9..2......835...956...4...,26,Expert
5.814.3..9........3..2..5.4.....96.1...3..85............65.1.....3.......458..96.,25,Intermediate
.8.2...4..7...93..1...5..92........8..58.........3......8.4...33..7..1.5..9..14..,24,Easy
.8...3.4..5792.8..4..6...3.6.423...88....5....9.8...67........39...7...2.........,26,Easy
..8.3...7..35..9...9.2...1...1..4..5.2.7.....4..3.5..9...8..4..7......8.1.....3..,24,Expert
4.9....8..1....27.8.62..9....492......75.6.1...8.1............8..276.19....1.5...,27,Expert
1.7..3..928...17.........36...2....8..6.....1.7.1.9.......5...3.9...7.62....9.8..,25,Expert
86.7...4..37.24...4...8.9...7.5..2.3..6...5.8.........38...2..........79.....3...,24,Expert
7...2...3....7.......3.8..45.8..9.....7.8.9..2............4.12..59...8...1...54..,23,Expert
..65.7..371..9.......8...1.......6.9...63...5.5.....7.97...3.8.4.....1.........36,24,Expert
....126..64...7......64.185.1.......9......7..85..12...9.57...2..429.....5.......,26,Expert
9.......764.1..92......46...2...7.3.7..6.3...1.......8...7..4.......2.9..8..3.1..,24,Expert
..3..2....8.7.5.2612...85.7.3..9...5...3....8...8.76...5....3.1.......9...96..7..,27,Easy
9....6.....4.....1..3.....8..7.4.9......37...3..91..2.64..8...77.9..31....8......,24,Expert
.............71...2....3.4.3......62..4.9..8..8.6.7..4..3.1.9...67....1..42..9...,24,Easy
..892.....1...6..83568.........6...2..5....3.8..375....2..8............3..7..31.6,25,Intermediate
.64...9.87..4..6..8.....1......7.5.1..398..7.4...56.8.9.8.6.7.3..5.......1.......,27,Expert
...........6.43.78.2.5..46..4..62.35.6..8......2..784......56...8...4359.....9.2.,29,Simple
..........9.762..1.42.5.79....87......9..5...4512....85........214.....6..84.....,26,Easy
9.42....731.4....2..769..54............97...5.3..5..........793.2...6..........2.,24,Easy
..76.3..2.82..5.......825..42.....6...8......6.......1.1.8...7.3..4...1..5.......,23,Expert
............3.97...6.4.7.3...46.....6359.....28....4.97..2..........6.5...9....83,24,Intermediate
1.5...8..3...2...5...3.4.....8.4.29......7..4....3..7.8.21..9.....5...3......2...,23,Expert
........1.4....28.3...7295.8........75...4.3...3...7.8..2.9....1.......5..9..347.,25,Expert
6..73.5..3............5.28..2.9....6..6..287..8......2..9.6...8....75...5.....16.,25,Easy
4....386.3...76.59....4.73..7...5...65..8..9.......3....6......7..9.....5981.....,26,Intermediate
.4.56..87.....915.7...81..........4..6......335..7461....9..83......847......5...,27,Intermediate
.8..7.6..1..4.6....2..1.7.4..2.5.......74.3..5..128....3.....8.....6..4.4.....1..,25,Intermediate
1..........6..........27.3.7...542..5.2.6.......9......1......3.3..95.27.7.1.65.9,25,Expert
.9.......3....2..64.8....5.....58.6262..9.......2...7.....67.8..45......73......4,24,Expert
..1...79.283..9.....7.86..4.9..2..........94..1...8....2......37.....86....6.3..1,25,Easy
....1.4..7..35..6..9...83......8.9...39..1846..469..53.76........3......1.......8,27,Expert
72.........649..1...9..2.6.....41......8...7...4.29....9...7....3.1....4....6..8.,23,Intermediate
..........9......5..5....346....79.21...6...7...9.2...3...761...71.5.....5...9.4.,24,Easy
..9....5...14823...........63..2..8.............169....948...1.38...64.9........8,24,Easy
.2135...9...7..61...62..3...75......6.........3..298...57.....3.198...7.....3....,26,Easy
....8...5.......6...6...9.16...5.2..7...13....8...9..3......5..85..31697.93......,25,Expert
.......3.83...92.....5....47.........5.....8.289..3.....87....5125....9..7..4.3..,24,Expert
.7824...11.3.78...9.2.1...4......49.............5..1...9..3..823..9...4...7..23..,27,Easy
.56.19...9.......1..4..5...1...5.2..............4..5....1...4.8.6..2.1.98..63....,23,Intermediate
...57.3.25......8.......1..8.4...6....7...438..1..6.5.3.6..7....1...8.6.......7.1,25,Easy
.4..368....1.....2.754...1.....78........3.....8....7...2.....1.34.5........41..6,23,Easy
........7..931.2452...8..1..1...8.3...4.9..8....2.147..2.......83..2.......137...,27,Intermediate
.14..5.2..73..2.48..63.1.......7.5..........1...6.8..4.6.1...83...4...........6.7,25,Intermediate
.5.....36....7..1.8.9......7...1..8.6.3........5.....1.......621...69.....7..8..5,22,Intermediate
6.9.7....3.79.5....1.........6.24....3.6.1...245.3...........71.9.....5.....1.6.3,25,Intermediate
.598...4.21.....93.....281.1.352......5...3....2...........86.....95...8...1..42.,26,Intermediate
1.4...583973....1..8...1.7......2.....25.....3417...........95.7....3.......7.4..,25,Easy
5.38....47...2...9.21..7.3..791..52........83.3.......9...8......8.9.....1.3....5,26,Easy
.....6..37...8.....12.4..7..4...2..72....7.14..75..6.......8.2.3.4....5....3....1,25,Intermediate
3.....47556..9..............7.85.......3..9.4...96.58..16......8....5...4.9.1....,24,Intermediate
.96.8....7...31.......7.2.1.64..7..297.........8.4.6...19....6......8...8.296....,26,Expert
..39..2.....7.......7.2...4.4..3...5............2...3.4..69..5.7.23..4.8.89....63,25,Easy
2.53...........8..96........58.3....1....5...3...6..49.1..56.24...24.....4.....95,25,Expert
..3..7.....5.4.6738.....2.........1258.7......7..32.5.......16.1...2.5...6.5.1..8,27,Expert
.3...9.........34........6.7..5.6.9..2.7....66.9.3.85.8............8342......29.5,25,Expert
...........7.....2.....7.39...........913...528...571..718.924..2..5..8.9...73.5.,27,Expert
....5...4...94.65.....2.......3....2....6.5....5..231.75.....493.....1..2..4.9...,24,Easy
.9......1.....592.5.29...7.....8....4.1.........57..4.7.481..3..1.3.....9.8.4.2..,26,Easy
.2....98.7......54...........9..2...182.5..9....4..5...3.18....41.7...3......41.7,25,Expert
..1..659.....18.2....7..4...482......1..6...2.95.7...1....4.......1.5.8......26..,25,Expert
.....81..3.2.1...4.6...5.2.......4..2.45...38....2456........1..1......3..8..9...,24,Expert
.1.3.5726....4..1....6........5.739....194...........72..4....136...2.......6..52,26,Simple
....19.....452..89.1.....253.1.....45..2.......6...21..8.....9.9.56.....1.2...3..,26,Intermediate
...2..3.14.....9....98..47...16........9..1..2...4.....4..76.9......9..28..12...3,25,Easy
3................7......3948.397...67....65..9...437....26.5....987..6...3..82...,27,Easy
..7....3.82......5......9..29..5...3..3.7....6...8......596..2...6..3.87.1....5..,24,Easy
......7...1..8.94...4.3..82.3........2.......1...42.3..823...9137.1..5......25..7,27,Easy
....1.5.72..5.6..94....3....6..9......41...93.....2........5.6...93.......3.....4,22,Expert
.....96.2.71.6.......13...413.6......962.......4.5....4.5......72....94..6....3..,25,Easy
5.6...2..8....6..4......8.7.3.46...57..3.......29...7.975.........73........82...,24,Expert
..3.7..9..523.48..8....2........3......5...8.5..7..3....4....5.2..8...797.9.3.6..,26,Intermediate
.58....62.62.4.............8...5..4..49....86..5.1..3..14....5.........89.3..41..,25,Easy
5...72.4.....4.8....9...1..........4.....7.6.....917...4.....1.1..256.....7...689,24,Intermediate
5...2.3.8.94.....636.5......4.2....9..98.3..2...7.5..3.......9.9.8...7..........5,25,Intermediate
8...35.12.....63.4...1...87..4.8.73.165...............671...2...83...4......6....,26,Expert
.....8.1....4..3.....9.......9.....7..3..6..4158.9......45....8.3....96..658..7..,24,Intermediate
4..2.7...5..9......19.....374....5..8.2.........7.2....8...471...3....4.2..18..5.,25,Easy
...6.4......395.......8......1.2..5.4.28....9........861...952..4..6.1..2.54...96,27,Expert
.6.8.4...4...3916.........8....1.9826......4.....2........7......4..8.3..273..8..,24,Easy
4.1...........81......2....748..6..22...7......9..4....624.1.3.3....96...1.......,23,Easy
.8.9.6....3214596.........4..5.2.4.......1...193....25..9...........2.3...4.3.5..,26,Expert
..2....69..56....3.....45...3.1..8.69.....4...679...2....7...85..6....3.....5.7..,25,Expert
6.5......4.73.6..88......7....7........958.....3..4...2...9..4....8...36..8.4579.,26,Expert
45.....8.....1.....1...5...2...5....8.5..14......347..3....2..4..476823...1.....6,26,Expert
.....9.8.8...1..54........9.....3...5......31..25..4..4..28651..3..5.24...5.3...6,27,Expert
.37.5.9.2.5...3.......6............9.9..2..13...4..7..3...76...67..95..15..24.3..,27,Intermediate
.2.......97...1.42..8..7..9..48......9..52......479........42.51.9..8....3.1.....,25,Intermediate
9..72....271.......5.....1...4....7..9....5.6...8..4.9.821.46.7.........16....9..,25,Easy
.2..74......5.....74...6......3..2.86....2...5..81.4..1....8..6.3..........4.387.,24,Easy
29.......7.6............2.6.....8.741.29..3...4...7.........1686.9.....2.8.2.3..9,25,Easy
...9..48.2....1.5.5.8.4.......7....937.5...2...1..97..1...2.........4...83.......,23,Expert
.....96.415.46..2....7.8...8......5..4....2....6..5.89.19......2..8......6..9....,24,Expert
36...8...........9..7..........6..2.1...8569.5....7..1...7..8..8.319..7..15..3...,25,Easy
...7.819...3....4......17.3..............68.74...12.6.2.6..4....49.8.6..7.....3..,25,Easy
..4..15...3....6..9..........23..9....98.6.4..85....62.6...5......6...94..8.1....,24,Intermediate
....3...6...1...7..2.54...3..4....6.1..2.8..553....2.7...........6..5.......621.4,24,Expert
.....8.3527..36...3....9..65..7....9...4.5...4....27.............4...82.786.....4,25,Expert
...3..2.6...9.134.5..6..7........9..16......7.54.13............4.215....7.3..4...,25,Easy
...96.574.9......63...7..8.7.2.4.95..............37.48.85......2.95.4............,25,Intermediate
6.9....3..3...64....2......2.....7.....1.4.....1.79..449.7..61.....4...5.6...3...,24,Expert
....9.47.7....8.......5.3.923.4.96.5..6.37...4.....8..8............25...6.....2.4,25,Intermediate
.....786...3..6..5.9...21..7.9...683..6.7.2...........3.8..5..6..2...95...7..1...,26,Easy
.8...2.7..1...45.....17.6.27.9.8......5..7168...2....9....568....1.....7.........,25,Expert
......5.7745...962..2......2376.4..5...9...4...9...3.....5.6...364.............71,26,Intermediate
.8..5....9.6.......4.2...3.65....3..1.368......8.......9..1..24.....35.8....4.6..,24,Easy
..........5.....42.......39.3.....2......3..7.625..19.2..79...17..6.5...4..3.1..6,25,Simple
.....7.6.4.2.........6..4.1.8...4.7....93..2.......18..1.27.3....3..19.7...8.....,24,Easy
......7......4..1......7642....85.......3..2.2.4.......1...2.785..6.....82....3.1,23,Intermediate
...9..5.3.6...4...28..36.744....3.........8.53...9............7...7.5.98...8..25.,25,Expert
627..4...8.9...6....5..........5...97..6.......2.8.5.4.1.49....5.82...7...6......,24,Intermediate
..69....1.....8...13....7...7...6..3..912.6.4.......89..147.2.....2...1.........6,24,Expert
157..9......2........35...8..4...1..2....4..3.1.9.7..543.........2......89.725...,25,Easy
9...2..........4....846.79.416.......3..9.1.........6.3716........9..6.4..9.1...2,25,Easy
.67.1.9.53.................1...25..49.23....7.5.......5.6.4......1..32.......24.9,24,Easy
.7......8..2..36..3.9.......5...1..7..37.....61...8..........2..9.3..781231.6..59,27,Expert
41..5.........384........65..63.....3.789....8.5............9....46.7.8......4..1,23,Intermediate
...87.9.6.1...2.........53.7..2..6.......7.9.53....21......8.......9.7833..6.....,24,Easy
.47.5.....352.9...9..3...5........9..2...5...........7.54..2..9..341.5.........26,24,Easy
8..7.9.2.34......676.3...89......6.7.3.24.....8...........1.3.4....36..8......2..,25,Expert
..37......14..6.......5....23...5....5.19...2.....41..125..3.4....62......7...3..,24,Intermediate
...6....3..6..1.25.......1..91.7.3...472.3.9.6..9.......25..7..1......5..3...9.4.,26,Easy
2.9.41......62.....3..786....3....8...1....2.89.......417...2..........4..29...7.,24,Expert
.9.......3.....2.5......6..4.65...98..51...6.9...6....8....635...4.2.....3285.9.4,27,Easy
..86....42....39.63....4.28..4..6.......2..13.........8.1..97..6..27..8......13.9,27,Easy
.19.8....7..4.2...6.8.1.......6...47...23...8.6.1..3...43....2.98...61...........,25,Expert
.7.......81..74.....5...9......9..7..8.71.53....5..6.9...35....7......834.1.8....,25,Easy
2.5.1...81.9...52.4..25.1......89..6..1..4.5...2.......3.4............1....3...9.,24,Easy
.4.97.........384....8....97....5.9..342..5.7......3.8.....79....8.56...65....7..,26,Easy
...8..7.1..5.....8....6142.6...1..52..2.4..6.87.........1.2....25..8.....9.......,24,Intermediate
5.8....7......6.5..9.3..1..6.....5...8......1743.51.9.9.....4...3..4.9...5.....36,26,Expert
.8.5..2............57..9..4..6.84..5..2....761...67..24.9.51.......7.........29..,25,Expert
.....4...319..6.....8..52.......3...4....2.3.......8....64....3..52.941.2..5...6.,24,Easy
.8.....5.5.91..3....3.9.287..12...39....16....6.....2.....52...2....7..8....8....,25,Easy
58...72....9....181.....5......3...5.928.......4...92..4........3.45...19..1.....,24,Expert
65.....9...46..7.1.2..3.6..3.......7..7...426.92...51.469...2...............9.13.,27,Simple
..5.2..4...1.84.7..7...5321...2.86.5......7..5......1..3..7..6...8......2...6.1..,26,Expert
6.2.18.473....7.6...92...8.4......96...94.1..2.36.......7...3..........9...7.3...,26,Easy
6..9..8.3....24......6.3.2.7....8.623.....5...9...6..4........5......97.98.572..6,27,Intermediate
..8..2.....514.7...3..58..4.8..3.........5.73.9..71..2...49...........5..7..8..9.,25,Easy
8.3...71..2.5....371..6.2....2...1....1.26.454...58.7....71.....4..............3.,26,Easy
51...4......7...5...3..5..7.9...3.......1.5...74..82..4.....9.8352...1......41...,25,Intermediate
6....87....37.9.1....53.........2.7.....9.6..9..6..281.......3...532.9......6.5.8,26,Expert
8.......5..2..5.1.6.3...2...7..6......8.9.73.5......2....2...9...9.8.1...2....38.,24,Expert
....6........1.4.....7....25.1....4..974...2.6..15...7.25....96..4.7.5...6..8....,25,Easy
....1.9..7...3..4...9....65.3...8........57.9..7.4.5...........6.8..91.......3486,24,Intermediate
6.7.......43...9..9....3.....5.8.37.8.2.47......5....6.8...4...7.68.5.3...97..6..,27,Easy
13.72.5.6....54.8......8..28.6....7.25...1.......4..25513....6.78......1.........,27,Expert
...8.4.918...........61.2.......9.439.2.3.8...43..1.6..21.......9...7.......98...,25,Intermediate
..46....9....5.....1..74....9.41.....61..7.8..4..983.......5.46..89....3..6...7..,26,Expert
31.5...9....9..1.7.98.......35......4......5...7...6.3..419...6.....5.1.16....84.,26,Easy
......4......63..9....2..8......2..457...6.....874..5...56.72......859..6....9..3,25,Expert
.81........2..13..5.38.7.1..3.1.4.97..4.7...2.1...8....58..9.4.9.......3.........,26,Intermediate
..7.2.4.8....5..61.9..68.7.14........8...5...7.5......9....1....14..28....84.6..2,27,Easy
....1...51...256..5...73.812........7...8.342..8...76...7...2.3..9......32.....1.,27,Expert
......7.........3.3..58.69..4.83.2........5.8....2.9..62.3..8....4......879.....6,24,Easy
.........5..784...3....587.....6.5......4326..8.9.27.3......358....3...49..5...2.,27,Easy
......7..2197.3..834.5...91.........7548..2.38.3.....7..54......8....1.......15.4,28,Expert
..6..9..3.79..8.6.4..7.....9....61..38..7.2...67..4..8....4.6.7.......2.......98.,26,Expert
.6.7..5.34.......7..5..9.....73...26....1..7..1...593.931.....4.74......6........,25,Expert
..6.9..38..8....6.1....59....97...8.6....132..3....1.7..1...7.6..73..8.........5.,26,Expert
..........31.....9....9.175.....72.......67....2....144.....3...73.1...22...5..91,24,Easy
....74.31...3.......9.2.8.7...4..1..8.47..9...15...42......7.8.....193.....83....,26,Easy
..2....5..8.3..6..75..964....476................9.376....8.........4.2.9..6237..8,26,Expert
.....7..2.3.9........2.476.....4.69.......3.4.....62.5.82......6..3.5...3..69....,24,Easy
..3....8.....1.2..........4..7.6..42.4...576.1..8....575......6.....85.1.......3.,23,Easy
..327.....5.......8.9......94..5.1...........5..7...29.2.91.4.8.3...7..2..43.2.75,27,Easy
43.......9...6..7..27.....4...42..567......3....1.34.22.....1....9....45..6.....3,25,Easy
.1.....34..7...2.......8....78..642.16......8.5..7..6....5...8.5.3.84..2........1,25,Easy
87.95...14.....75.1...3..8...9....3838..4..7.....9...6.....5.............53..64..,25,Intermediate
31.5.7..66.....3.....9....7..4.........7.94.....1...592..3..17...5.12.94.........,25,Intermediate
.51......6..7814.......6...465..3.1..9...584....9..76..3..9.1..8.4..7............,26,Easy
45...8..9..21..65.6.....4.3.2...9.3..3...5....4.8.6..............1.9..6....4...1.,24,Easy
..9....8.5...7.4.918...9.3...5..4....6..9....7.4.........6..948.7...8.13.3......6,26,Intermediate
......5.1......83.3..5...7.642.......8......3......92..9..7.....7..48.9.1..23..58,25,Intermediate
8..4..9..673....1......86.7....9.1.......6....9.8.....71.2....6.6.9.4.2.2.....48.,26,Easy
.5......9....84..7.1.27......43.......54.9.1..2........4...89.31...9.....3....2..,23,Easy
.53....8...9..475.7......4...4.2.......7......6..93....3.....282....6...9..58..74,25,Easy
...6....45.2.....1...13......62..8....3.47.1..48...35........6....3....2..7.6248.,26,Easy
28....79..5..........9...6.7..85.4...3.6..5........3...7..9....8..27.....4..65.2.,24,Intermediate
.2.3...8.6....7......94...2..2...8.5.5...9..3.6.2.8.7...9.8......87.....3..5.29..,26,Intermediate
....7.6.1.46....8..9.5.....5...........2.4..9.6......7.......6..29..14.567....92.,24,Expert
65.....92..9.........7...5...2..58.4.......1.1.48.6..9.98.7......1......76.9....8,25,Easy
.....39...1649..2...9..7..6..1954.6..2.63..........5.....2...3..6..4.21........59,27,Expert
....519...74.9..5.........2....6941....2746.9.......23.49...1.........466.5......,26,Easy
.59.......8.53..1.2.4......495...87...7.5.4.1.......9352....73..........9..2.3..4,27,Easy
.1...8.....42.1..6...39...1.9....1....5934.....2.6..3.6..........9.5....423...9..,25,Expert
...4.8.6.9..37..4....19.37..7........13..4...6.4...8..2.....9...867.....74...3...,26,Intermediate
......3..648.......5.6.....4..9.6.2..89.3..4..6..1..5.....8493...2...4..8..1..2..,26,Easy
.46..7......9...6.2.........67.542........5.89......7...32.98....2.....4....8...9,23,Intermediate
..2....6.....7..8....14.....3..86.29..1......2.8.9.6....3...8.497...3.......17..3,25,Easy
.8..27.....594.......3...2..6...859..9.53....8......3232..9.8..7...........6.....,24,Easy
...53.1.....2.4..96.9..1.......1.5..3.2.4.6.8...3......41..5..3..........25...4..,24,Easy
.9.6.13.245......1.................618....2..6..8..9....548...932..1..5.......4..,24,Easy
86...4.2.4...23...9.75......3......6...7...9..8.6...7...5.....93....8...6...9.5.3,25,Intermediate
9..64.1....51.7..3..63.95.8...............4..18......66.97........8....1...9.436.,26,Intermediate
2.35....7.7..3.2....5.9..6...9...3..6...7..............2.76..59.....34.1.1.95....,25,Expert
......37...9............562.6.....9.51.2.9.....2.....115.6...8....8.76..3..51....,24,Easy
.47....68....7......2......4.9.62.1.....3...9.78...3...8.3.7..1...8..4..2.6..9...,25,Easy
....2.9...519...3........18.9...5....8.3..4.1..3..4.27.48..2...2..7.3.4..........,25,Expert
...8..2.4.....2....1.75...3....71.3..21...7.....36..8...4....5.7....83.....53...8,25,Easy
.4.5...6.768....2...2...1.9.85...............1.....67...64.5..2.5..1.8......829.4,26,Easy
